Survey Response,Journal Name,Other Journal,Date,Professional Status,Gender (optional),Race/Ethnic Background (optional),Review Time in Months,Initial Verdict,Sets of Reviewer Comments Initially Provided,Quality of Referee Comments,Overall Experience with Editors,Revise and Resubmit Verdict (also Conditional Acceptance),Time from Acceptance to Publication,Field 13,Journals,Acceptances,Rejections,Conditional Acceptances,Revise and Resubmits,Overall Acceptance,Initial withdrawals,Revise and Resubmit Withdrawals
Nous2015-03-31T04:00:00.000Z,Nous,,3/31/2015 12:00am,Faculty (Non-tenure-track position),Male,,1.00,Reject,,,3.0,,,,,,Reject,,,,,
Canadian Journal of Philosophy2015-03-31T05:00:00.000Z,Canadian Journal of Philosophy,,3/31/2015 1:00am,Graduate Student,,,2.50,Reject,2.0,5.0,3.0,,,,,,Reject,,,,,
Journal of Philosophy2015-03-31T16:48:30.000Z,Journal of Philosophy,,3/31/2015 12:48pm,Faculty (Tenure-track but non-tenured),Male,,11.00,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
Philosophical Quarterly2015-04-01T04:00:00.000Z,Philosophical Quarterly,,4/1/2015 12:00am,Graduate Student,Female,Caucasian,0.50,Reject,,,3.0,,,,,,Reject,,,,,
Erkenntnis2015-04-02T04:00:00.000Z,Erkenntnis,,4/2/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,Caucasian,8.00,Accept,2.0,5.0,4.0,,,,,Accept,,,,,,
Ethics2015-04-02T04:00:00.000Z,Ethics,,4/2/2015 12:00am,Graduate Student,Male,,2.00,Reject,,,5.0,,,,,,Reject,,,,,
Journal of Aesthetics and Art Criticism2015-04-02T04:00:00.000Z,Journal of Aesthetics and Art Criticism,,4/2/2015 12:00am,Graduate Student,Male,,3.00,Reject,2.0,2.0,4.0,,,,,,Reject,,,,,
Journal of the History of Philosophy2015-04-02T04:00:00.000Z,Journal of the History of Philosophy,,4/2/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,,0.25,Reject,1.0,4.0,5.0,,,,,,Reject,,,,,
Legal Theory2015-04-02T04:00:00.000Z,Legal Theory,,4/2/2015 12:00am,Graduate Student,Male,,11.00,Revise and Resubmit,2.0,4.0,4.0,Withdraw,,,,,,,Revise and Resubmit,,,Withdraw
Nous2015-04-02T04:00:00.000Z,Nous,,4/2/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,Caucasian,1.50,Reject,,,3.0,Reject,,,,,Reject,,,,,
Philosophical Quarterly2015-04-02T04:00:00.000Z,Philosophical Quarterly,,4/2/2015 12:00am,Graduate Student,Male,,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Quarterly2015-04-02T04:00:00.000Z,Philosophical Quarterly,,4/2/2015 12:00am,Graduate Student,Male,,0.50,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Quarterly2015-04-02T04:00:00.000Z,Philosophical Quarterly,,4/2/2015 12:00am,Faculty (Non-tenure-track position),Male,White,0.25,Reject,1.0,3.0,5.0,,,,,,Reject,,,,,
Philosophical Review2015-04-02T04:00:00.000Z,Philosophical Review,,4/2/2015 12:00am,Faculty (Non-tenure-track position),Male,,1.00,Reject,,,4.0,,,,,,Reject,,,,,
Philosophical Studies2015-04-02T04:00:00.000Z,Philosophical Studies,,4/2/2015 12:00am,Graduate Student,Male,,1.00,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
Continental Philosophy Review2015-04-02T05:00:00.000Z,Continental Philosophy Review,,4/2/2015 1:00am,Other,Male,Caucasian,4.00,Revise and Resubmit,2.0,3.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Psychology2015-04-03T04:00:00.000Z,Philosophical Psychology,,4/3/2015 12:00am,Faculty (Non-tenure-track position),Male,,,Revise and Resubmit,2.0,5.0,1.0,Reject,,,,,,,Revise and Resubmit,,,
Journal of Philosophy2015-04-04T08:11:20.000Z,Journal of Philosophy,,4/4/2015 4:11am,Faculty (Non-tenure-track position),Male,"English, Bangladeshi",23.00,Revise and Resubmit,1.0,4.0,2.0,,,,,,,,Revise and Resubmit,,,
The Review of Symbolic Logic2015-04-05T04:00:00.000Z,The Review of Symbolic Logic,,4/5/2015 12:00am,Graduate Student,Male,white,5.30,Revise and Resubmit,1.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Bioethics2015-04-06T04:00:00.000Z,Bioethics,,4/6/2015 12:00am,Other,Male,Caucasian,6.00,Revise and Resubmit,2.0,3.0,3.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Journal of Political Philosophy2015-04-06T04:00:00.000Z,Journal of Political Philosophy,,4/6/2015 12:00am,Faculty (Tenure-track but non-tenured),Female,,1.50,Revise and Resubmit,2.0,3.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Journal of Value Inquiry2015-04-06T04:00:00.000Z,Journal of Value Inquiry,,4/6/2015 12:00am,Other,Male,Caucasian,3.50,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Philosophical Quarterly2015-04-06T04:00:00.000Z,Philosophical Quarterly,,4/6/2015 12:00am,Faculty (Tenure-track but non-tenured),Female,white,0.70,Reject,,,3.0,,,,,,Reject,,,,,
Utilitas2015-04-06T04:00:00.000Z,Utilitas,,4/6/2015 12:00am,Faculty (Tenure-track but non-tenured),Female,,3.50,Accept,1.0,4.0,5.0,,,,,Accept,,,,,,
Philosophy and Phenomenological Research2015-04-07T04:00:00.000Z,Philosophy and Phenomenological Research,,4/7/2015 12:00am,Faculty (Non-tenure-track position),Male,Latin,3.50,Reject,,,2.0,,,,,,Reject,,,,,
Analysis2015-04-07T16:27:17.000Z,Analysis,,4/7/2015 12:27pm,Graduate Student,Male,white,0.25,Reject,,,4.0,,,,,,Reject,,,,,
Nous2015-04-08T04:00:00.000Z,Nous,,4/8/2015 12:00am,Graduate Student,,,3.50,Reject,,,4.0,,,,,,Reject,,,,,
Philosophical Quarterly2015-04-08T04:00:00.000Z,Philosophical Quarterly,,4/8/2015 12:00am,Faculty (Non-tenure-track position),Male,,2.00,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-04-08T04:00:00.000Z,Philosophy and Phenomenological Research,,4/8/2015 12:00am,Faculty (Non-tenure-track position),Male,,,Reject,,,,,,,,,Reject,,,,,
Journal of Philosophy2015-04-08T15:31:16.000Z,Journal of Philosophy,,4/8/2015 11:31am,Faculty (Non-tenure-track position),Male,,16.00,Reject,1.0,1.0,3.0,,,,,,Reject,,,,,
Erkenntnis2015-04-09T04:00:00.000Z,Erkenntnis,,4/9/2015 12:00am,Faculty (Non-tenure-track position),Male,white/irish,4.00,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-04-09T04:00:00.000Z,Philosophy and Phenomenological Research,,4/9/2015 12:00am,Graduate Student,Female,white,0.25,Reject,,,3.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-04-09T04:00:00.000Z,Philosophy and Phenomenological Research,,4/9/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,white,2.50,Reject,,,3.0,,,,,,Reject,,,,,
Political Theory2015-04-09T04:00:00.000Z,Political Theory,,4/9/2015 12:00am,Other,Male,,1.00,Reject,,,,,,,,,Reject,,,,,
Mind2015-04-10T04:00:00.000Z,Mind,,4/10/2015 12:00am,,Male,,3.00,Reject,2.0,4.0,3.0,,,,,,Reject,,,,,
Nous2015-04-10T04:00:00.000Z,Nous,,4/10/2015 12:00am,Faculty (Non-tenure-track position),,,4.00,Reject,,,1.0,,,,,,Reject,,,,,
Philosophers’ Imprint2015-04-10T04:00:00.000Z,Philosophers’ Imprint,,4/10/2015 12:00am,Faculty (Tenure-track but non-tenured),,,4.00,Revise and Resubmit,2.0,5.0,4.0,Reject,,,,,,,Revise and Resubmit,,,
Philosophy and Phenomenological Research2015-04-10T04:00:00.000Z,Philosophy and Phenomenological Research,,4/10/2015 12:00am,Faculty (Tenured),Male,,2.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-04-10T04:00:00.000Z,Philosophy and Phenomenological Research,,4/10/2015 12:00am,Graduate Student,Female,,2.00,Reject,,,2.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-04-10T04:00:00.000Z,Philosophy and Phenomenological Research,,4/10/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,,2.00,Reject,,,4.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-04-10T04:00:00.000Z,Philosophy and Phenomenological Research,,4/10/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,Asian,3.00,Accept,2.0,3.0,4.0,,,,,Accept,,,,,,
British Journal for the History of Philosophy2015-04-11T04:00:00.000Z,British Journal for the History of Philosophy,,4/11/2015 12:00am,Faculty (Non-tenure-track position),Male,,1.50,Reject,2.0,5.0,5.0,,,,,,Reject,,,,,
Ethical Theory and Moral Practice2015-04-13T04:00:00.000Z,Ethical Theory and Moral Practice,,4/13/2015 12:00am,Graduate Student,Male,,3.00,Reject,2.0,4.0,4.0,,,,,,Reject,,,,,
Nous2015-04-13T04:00:00.000Z,Nous,,4/13/2015 12:00am,Faculty (Non-tenure-track position),Female,,2.00,Reject,,,,,,,,,Reject,,,,,
Nous2015-04-13T04:00:00.000Z,Nous,,4/13/2015 12:00am,Graduate Student,Male,White,1.50,Reject,,,,,,,,,Reject,,,,,
Philosophical Quarterly2015-04-13T04:00:00.000Z,Philosophical Quarterly,,4/13/2015 12:00am,Graduate Student,Male,,1.20,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Review of Metaphysics2015-04-13T04:00:00.000Z,Review of Metaphysics,,4/13/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.25,Reject,,,3.0,,,,,,Reject,,,,,
Nous2015-04-14T04:00:00.000Z,Nous,,4/14/2015 12:00am,Graduate Student,Male,white,1.00,Reject,,,3.0,,,,,,Reject,,,,,
Philosophical Studies2015-04-14T04:00:00.000Z,Philosophical Studies,,4/14/2015 12:00am,Graduate Student,Male,white,1.90,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-04-14T04:00:00.000Z,Philosophy and Phenomenological Research,,4/14/2015 12:00am,Faculty (Non-tenure-track position),Male,,1.50,Reject,,,,,,,,,Reject,,,,,
Australasian Journal of Philosophy2015-04-15T04:00:00.000Z,Australasian Journal of Philosophy,,4/15/2015 12:00am,Other,Male,,1.80,Reject,1.0,1.0,5.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-04-15T04:00:00.000Z,Philosophy and Phenomenological Research,,4/15/2015 12:00am,Graduate Student,,,,Reject,,,5.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2015-04-16T04:00:00.000Z,Australasian Journal of Philosophy,,4/16/2015 12:00am,Faculty (Non-tenure-track position),Male,White,0.80,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Pacific Philosophical Quarterly2015-04-16T04:00:00.000Z,Pacific Philosophical Quarterly,,4/16/2015 12:00am,Faculty (Non-tenure-track position),Female,,4.00,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Synthese2015-04-16T04:00:00.000Z,Synthese,,4/16/2015 12:00am,Faculty (Non-tenure-track position),Female,,5.00,Reject,2.0,4.0,4.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-04-17T04:00:00.000Z,Philosophy and Phenomenological Research,,4/17/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,White,3.50,Reject,2.0,3.0,3.0,,,,,,Reject,,,,,
South African Journal of Philosophy2015-04-17T04:00:00.000Z,South African Journal of Philosophy,,4/17/2015 12:00am,Graduate Student,Male,,,Revise and Resubmit,2.0,3.0,4.0,,,,,,,,Revise and Resubmit,,,
Synthese2015-04-18T04:00:00.000Z,Synthese,,4/18/2015 12:00am,Graduate Student,Male,,5.00,Revise and Resubmit,2.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Journal of Applied Philosophy2015-04-19T04:00:00.000Z,Journal of Applied Philosophy,,4/19/2015 12:00am,Faculty (Tenure-track but non-tenured),Female,,1.00,Reject,,,,Reject,,,,,Reject,,,,,
Apeiron2015-04-20T04:00:00.000Z,Apeiron,,4/20/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,,5.00,Revise and Resubmit,1.0,5.0,4.0,Accept,3.0,,,,,,Revise and Resubmit,Accept,,
Philosophia: Philosophical Quarterly of Israel2015-04-20T04:00:00.000Z,Philosophia: Philosophical Quarterly of Israel,,4/20/2015 12:00am,Graduate Student,Female,White British,2.00,Revise and Resubmit,2.0,3.0,5.0,Accept,1.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Psychology2015-04-20T04:00:00.000Z,Philosophical Psychology,,4/20/2015 12:00am,Faculty (Non-tenure-track position),Male,white,2.30,Revise and Resubmit,2.0,3.0,5.0,Accept,10.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Review2015-04-20T04:00:00.000Z,Philosophical Review,,4/20/2015 12:00am,Faculty (Tenured),Male,,0.66,Reject,,,,,,,,,Reject,,,,,
Philosophical Review2015-04-20T04:00:00.000Z,Philosophical Review,,4/20/2015 12:00am,Faculty (Tenured),Male,,0.66,Reject,,,,,,,,,Reject,,,,,
"""Politics, Philosophy, and Economics""2015-04-21T04:00:00.000Z","""Politics, Philosophy, and Economics""",,4/21/2015 12:00am,Graduate Student,Female,white,2.10,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Philosophical Studies2015-04-22T04:00:00.000Z,Philosophical Studies,,4/22/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,,8.00,Reject,1.0,4.0,1.0,,,,,,Reject,,,,,
Canadian Journal of Philosophy2015-04-22T05:00:00.000Z,Canadian Journal of Philosophy,,4/22/2015 1:00am,Faculty (Non-tenure-track position),Male,white,5.50,Reject,2.0,4.0,4.0,,,,,,Reject,,,,,
British Journal for the History of Philosophy2015-04-23T04:00:00.000Z,British Journal for the History of Philosophy,,4/23/2015 12:00am,Graduate Student,Male,,,Reject,2.0,5.0,5.0,,,,,,Reject,,,,,
British Journal for the Philosophy of Science2015-04-23T04:00:00.000Z,British Journal for the Philosophy of Science,,4/23/2015 12:00am,Faculty (Non-tenure-track position),Male,"White, Irish",1.00,Reject,,,3.0,,,,,,Reject,,,,,
Philosophy and Public Affairs2015-04-23T04:00:00.000Z,Philosophy and Public Affairs,,4/23/2015 12:00am,Faculty (Tenure-track but non-tenured),,,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2015-04-24T04:00:00.000Z,Australasian Journal of Philosophy,,4/24/2015 12:00am,Faculty (Non-tenure-track position),Male,,1.00,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Journal of Value Inquiry2015-04-24T04:00:00.000Z,Journal of Value Inquiry,,4/24/2015 12:00am,Faculty (Non-tenure-track position),Female,white,3.00,Conditional Acceptance,1.0,4.0,4.0,Accept,1.0,,,,,Conditional Acceptance,,Accept,,
Phenomenology and the Cognitive Sciences2015-04-24T04:00:00.000Z,Phenomenology and the Cognitive Sciences,,4/24/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,,1.00,,2.0,4.0,3.0,,,,,,,,,,,
Synthese2015-04-24T04:00:00.000Z,Synthese,,4/24/2015 12:00am,Faculty (Non-tenure-track position),Male,,2.50,Reject,2.0,3.0,3.0,,,,,,Reject,,,,,
Philosophical Review2015-04-27T04:00:00.000Z,Philosophical Review,,4/27/2015 12:00am,Graduate Student,Male,,7.10,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-04-27T04:00:00.000Z,Philosophy and Phenomenological Research,,4/27/2015 12:00am,Faculty (Non-tenure-track position),Male,White British,3.50,Reject,,,3.0,,,,,,Reject,,,,,
Phronesis2015-04-27T04:00:00.000Z,Phronesis,,4/27/2015 12:00am,Graduate Student,Male,White,1.00,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Analysis2015-04-27T09:29:45.000Z,Analysis,,4/27/2015 5:29am,Faculty (Non-tenure-track position),Male,,0.60,Reject,,,4.0,,,,,,Reject,,,,,
Nous2015-04-28T04:00:00.000Z,Nous,,4/28/2015 12:00am,Faculty (Tenured),Male,white,2.50,Reject,2.0,3.0,5.0,,,,,,Reject,,,,,
Philosophical Quarterly2015-04-28T04:00:00.000Z,Philosophical Quarterly,,4/28/2015 12:00am,Faculty (Non-tenure-track position),,,5.30,Accept,2.0,4.0,5.0,,,,,Accept,,,,,,
Philosophical Review2015-04-28T04:00:00.000Z,Philosophical Review,,4/28/2015 12:00am,Faculty (Tenure-track but non-tenured),Female,White,7.00,Revise and Resubmit,,1.0,2.0,Reject,,,,,,,Revise and Resubmit,,,
Disputatio2015-04-28T05:00:00.000Z,Disputatio,,4/28/2015 1:00am,Faculty (Non-tenure-track position),Female,,2.00,Revise and Resubmit,1.0,4.0,5.0,Accept,1.0,,,,,,Revise and Resubmit,Accept,,
Ratio2015-04-29T04:00:00.000Z,Ratio,,4/29/2015 12:00am,Other,,,5.00,Revise and Resubmit,1.0,1.0,1.0,Reject,,,,,,,Revise and Resubmit,,,
Nous2015-04-29T11:56:38.000Z,Nous,,4/29/2015 7:56am,Faculty (Non-tenure-track position),Female,,4.00,Reject,,,,,,,,,Reject,,,,,
Legal Theory2015-05-01T04:00:00.000Z,Legal Theory,,5/1/2015 12:00am,Faculty (Non-tenure-track position),Female,,4.50,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
Ethics2015-05-02T04:00:00.000Z,Ethics,,5/2/2015 12:00am,Other,Female,Chinese,2.30,Reject,,,4.0,,,,,,Reject,,,,,
Philosophical Review2015-05-02T04:00:00.000Z,Philosophical Review,,5/2/2015 12:00am,Other,Female,Chinese,2.60,Reject,,,3.0,,,,,,Reject,,,,,
Nous2015-05-02T09:40:32.000Z,Nous,,5/2/2015 5:40am,Other,Female,Chinese,3.30,Reject,,,3.0,,,,,,Reject,,,,,
Philosophy and Public Affairs2015-05-03T04:00:00.000Z,Philosophy and Public Affairs,,5/3/2015 12:00am,Faculty (Non-tenure-track position),Male,white,3.75,Reject,2.0,,4.0,,,,,,Reject,,,,,
Journal of Applied Philosophy2015-05-05T04:00:00.000Z,Journal of Applied Philosophy,,5/5/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,,9.00,Revise and Resubmit,2.0,3.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Journal of Medicine and Philosophy2015-05-05T04:00:00.000Z,Journal of Medicine and Philosophy,,5/5/2015 12:00am,Faculty (Non-tenure-track position),Male,,3.00,Revise and Resubmit,2.0,4.0,2.0,Accept,24.0,,,,,,Revise and Resubmit,Accept,,
Pacific Philosophical Quarterly2015-05-05T04:00:00.000Z,Pacific Philosophical Quarterly,,5/5/2015 12:00am,Faculty (Non-tenure-track position),Male,white,1.00,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy2015-05-05T13:30:49.000Z,Australasian Journal of Philosophy,,5/5/2015 9:30am,Graduate Student,,,1.00,Reject,1.0,3.0,5.0,,,,,,Reject,,,,,
European Journal of Philosophy2015-05-05T20:43:14.000Z,European Journal of Philosophy,,5/5/2015 4:43pm,Faculty (Tenure-track but non-tenured),Male,White,8.00,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Journal of Ethics & Social Philosophy2015-05-06T04:00:00.000Z,Journal of Ethics & Social Philosophy,,5/6/2015 12:00am,Faculty (Non-tenure-track position),Female,white,0.25,Reject,,,,,,,,,Reject,,,,,
Kant-Studien2015-05-06T04:00:00.000Z,Kant-Studien,,5/6/2015 12:00am,Faculty (Tenure-track but non-tenured),,,3.00,Reject,1.0,2.0,5.0,,,,,,Reject,,,,,
Philosophers’ Imprint2015-05-06T04:00:00.000Z,Philosophers’ Imprint,,5/6/2015 12:00am,Faculty (Tenured),Female,,1.00,Reject,,,2.0,,,,,,Reject,,,,,
Philosophers’ Imprint2015-05-06T04:00:00.000Z,Philosophers’ Imprint,,5/6/2015 12:00am,Faculty (Tenured),Male,,1.00,Reject,,,,,,,,,Reject,,,,,
Philosophers’ Imprint2015-05-06T04:00:00.000Z,Philosophers’ Imprint,,5/6/2015 12:00am,Graduate Student,,,1.00,Reject,,,3.0,,,,,,Reject,,,,,
Dialectica2015-05-06T05:00:00.000Z,Dialectica,,5/6/2015 1:00am,Faculty (Tenured),Male,,5.00,Reject,3.0,2.0,2.0,,,,,,Reject,,,,,
Journal of Ethics2015-05-07T04:00:00.000Z,Journal of Ethics,,5/7/2015 12:00am,Faculty (Non-tenure-track position),Male,White,3.00,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
Canadian Journal of Philosophy2015-05-08T05:00:00.000Z,Canadian Journal of Philosophy,,5/8/2015 1:00am,Graduate Student,Male,,9.00,,2.0,5.0,3.0,,,,,,,,,,,
Philosophical Studies2015-05-09T23:02:59.000Z,Philosophical Studies,,5/9/2015 7:02pm,Graduate Student,Female,White,1.50,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Dialectica2015-05-10T05:00:00.000Z,Dialectica,,5/10/2015 1:00am,Faculty (Non-tenure-track position),Male,,3.50,Revise and Resubmit,2.0,3.0,1.0,Reject,,,,,,,Revise and Resubmit,,,
Philosophical Quarterly2015-05-10T19:49:05.000Z,Philosophical Quarterly,,5/10/2015 3:49pm,Faculty (Non-tenure-track position),Male,,2.50,Revise and Resubmit,2.0,4.0,4.0,Accept,3.0,,,,,,Revise and Resubmit,Accept,,
British Journal for the Philosophy of Science2015-05-11T04:00:00.000Z,British Journal for the Philosophy of Science,,5/11/2015 12:00am,Other,Male,,1.00,Reject,,,1.0,,,,,,Reject,,,,,
Synthese2015-05-11T04:00:00.000Z,Synthese,,5/11/2015 12:00am,Faculty (Non-tenure-track position),Male,whtie,4.00,Revise and Resubmit,3.0,3.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Australasian Journal of Philosophy2015-05-11T13:24:29.000Z,Australasian Journal of Philosophy,,5/11/2015 9:24am,Graduate Student,Female,,1.30,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Episteme: Journal of Social Epistemology2015-05-12T04:00:00.000Z,Episteme: Journal of Social Epistemology,,5/12/2015 12:00am,Graduate Student,Male,,2.50,Reject,1.0,4.0,4.0,,,,,,Reject,,,,,
Ethical Theory and Moral Practice2015-05-12T04:00:00.000Z,Ethical Theory and Moral Practice,,5/12/2015 12:00am,Faculty (Non-tenure-track position),Male,,4.00,Revise and Resubmit,2.0,4.0,3.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Journal of Applied Philosophy2015-05-12T04:00:00.000Z,Journal of Applied Philosophy,,5/12/2015 12:00am,Faculty (Non-tenure-track position),Male,,0.25,Accept,1.0,3.0,5.0,,,,,Accept,,,,,,
Analysis2015-05-12T19:02:39.000Z,Analysis,,5/12/2015 3:02pm,Graduate Student,Male,,0.50,Reject,,,4.0,,,,,,Reject,,,,,
Analysis2015-05-12T23:14:31.000Z,Analysis,,5/12/2015 7:14pm,Graduate Student,,,0.25,Reject,,,,,,,,,Reject,,,,,
Philosophical Studies2015-05-13T16:12:48.000Z,Philosophical Studies,,5/13/2015 12:12pm,Faculty (Non-tenure-track position),Male,,6.00,Reject,1.0,4.0,3.0,,,,,,Reject,,,,,
Analysis2015-05-13T23:51:32.000Z,Analysis,,5/13/2015 7:51pm,Graduate Student,Male,,0.25,Reject,,,3.0,,,,,,Reject,,,,,
Nous2015-05-14T02:36:18.000Z,Nous,,5/13/2015 10:36pm,Faculty (Tenure-track but non-tenured),Male,white,2.00,Accept,1.0,5.0,5.0,,,,,Accept,,,,,,
Erkenntnis2015-05-14T04:00:00.000Z,Erkenntnis,,5/14/2015 12:00am,Graduate Student,Female,,8.00,Reject,3.0,4.0,4.0,Reject,,,,,Reject,,,,,
Philosophical Review2015-05-14T04:00:00.000Z,Philosophical Review,,5/14/2015 12:00am,Faculty (Tenured),Male,white,8.00,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Grazer Philosophische Studien2015-05-15T04:00:00.000Z,Grazer Philosophische Studien,,5/15/2015 12:00am,Graduate Student,Male,,3.00,Conditional Acceptance,1.0,4.0,5.0,Accept,13.0,,,,,Conditional Acceptance,,Accept,,
Journal of Political Philosophy2015-05-15T04:00:00.000Z,Journal of Political Philosophy,,5/15/2015 12:00am,Faculty (Tenure-track but non-tenured),Male,,0.03,Reject,,,,,,,,,Reject,,,,,
Philosophers’ Imprint2015-05-15T04:00:00.000Z,Philosophers’ Imprint,,5/15/2015 12:00am,Graduate Student,Female,White,0.50,Reject,,,3.0,,,,,,Reject,,,,,
"""Politics, Philosophy, and Economics""2015-05-15T04:00:00.000Z","""Politics, Philosophy, and Economics""",,5/15/2015 12:00am,Graduate Student,Male,,5.20,Reject,2.0,3.0,3.0,,,,,,Reject,,,,,
Review of Philosophy and Psychology2015-05-15T04:00:00.000Z,Review of Philosophy and Psychology,,5/15/2015 12:00am,Faculty (Non-tenure-track position),Male,,7.00,Revise and Resubmit,1.0,3.0,1.0,,,,,,,,Revise and Resubmit,,,
Review of Philosophy and Psychology2015-05-15T04:00:00.000Z,Review of Philosophy and Psychology,,5/15/2015 12:00am,Faculty (Non-tenure-track position),Male,,7.00,Revise and Resubmit,1.0,3.0,1.0,,,,,,,,Revise and Resubmit,,,
Journal of Political Philosophy2015-05-17T04:00:00.000Z,Journal of Political Philosophy,,5/17/2015 12:00am,Graduate Student,,,0.10,Reject,,,4.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-05-18T00:08:17.000Z,Philosophy and Phenomenological Research,,5/17/2015 8:08pm,Graduate Student,,,3.00,Reject,,,3.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-05-18T03:18:23.000Z,Philosophy and Phenomenological Research,,5/17/2015 11:18pm,Graduate Student,Male,,2.00,Reject,,,,,,,,,Reject,,,,,
Journal of Social Philosophy2015-05-18T04:00:00.000Z,Journal of Social Philosophy,,5/18/2015 12:00am,Faculty (Non-tenure-track position),Male,,6.00,Reject,1.0,1.0,2.0,,,,,,Reject,,,,,
Philosophical Forum2015-05-18T04:00:00.000Z,Philosophical Forum,,5/18/2015 12:00am,Faculty (Non-tenure-track position),Male,White latino,5.00,Conditional Acceptance,1.0,5.0,4.0,Accept,3.0,,,,,Conditional Acceptance,,Accept,,
Philosophical Forum2015-05-18T04:00:00.000Z,Philosophical Forum,,5/18/2015 12:00am,Faculty (Non-tenure-track position),Male,White latino,5.00,Conditional Acceptance,1.0,5.0,4.0,Accept,3.0,,,,,Conditional Acceptance,,Accept,,
Nous2015-05-18T13:09:48.000Z,Nous,,5/18/2015 9:09am,Faculty (Tenure-track but non-tenured),Male,Asian,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Journal of Philosophical Research2015-05-18T14:22:49.000Z,Journal of Philosophical Research,,5/18/2015 10:22am,Faculty (Non-tenure-track position),Male,,3.00,Revise and Resubmit,2.0,4.0,5.0,,,,,,,,Revise and Resubmit,,,
Philosophical Studies2015-05-18T19:12:31.000Z,Philosophical Studies,,5/18/2015 3:12pm,Graduate Student,Male,,,Reject,,1.0,1.0,,,,,,Reject,,,,,
Philosophy and Phenomenological Research2015-05-18T20:13:58.000Z,Philosophy and Phenomenological Research,,5/18/2015 4:13pm,Faculty (Tenure-track but non-tenured),Female,,0.50,Accept,1.0,5.0,5.0,,,,,Accept,,,,,,
Erkenntnis2015-05-19T04:00:00.000Z,Erkenntnis,,5/19/2015 12:00am,Graduate Student,,,4.00,Reject,2.0,3.0,5.0,,,,,,Reject,,,,,
Journal of Political Philosophy2015-05-19T04:00:00.000Z,Journal of Political Philosophy,,5/19/2015 12:00am,Graduate Student,Male,,2.70,Reject,3.0,4.0,2.0,,,,,,Reject,,,,,
